ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
22105,HY430656,9/20/15,117XX S LA SALLE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,522,5,34,53,01A,1177368,1827046,2015,9/30/15 15:35,41.68074015,-87.62637641,"(41.680740148, -87.626376407)"
22106,HY430544,9/20/15,058XX S LA SALLE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,232,2,20,68,01A,1176298,1866287,2015,9/30/15 15:35,41.78844651,-87.62911782,"(41.788446509, -87.629117823)"
22104,HY430167,9/19/15,011XX E 44TH ST,110,HOMICIDE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,222,2,4,39,01A,1184460,1875896,2015,9/30/15 15:35,41.814627,-87.59889009,"(41.814627001, -87.598890085)"
22103,HY430052,9/19/15,012XX N KEELER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2534,25,37,23,01A,1148156,1907842,2015,10/9/15 15:56,41.90306505,-87.73123676,"(41.903065053, -87.731236756)"
22102,HY429510,9/19/15,035XX W 24TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1024,10,22,30,01A,1153241,1887830,2015,9/30/15 15:35,41.84805053,-87.71308962,"(41.848050533, -87.713089622)"
22101,HY427585,9/18/15,002XX S LARAMIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1522,15,29,25,01A,1141756,1898612,2015,9/30/15 15:35,41.87785768,-87.75497403,"(41.877857676, -87.754974025)"
22098,HY426270,9/16/15,115XX S CHURCH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2212,22,34,75,01A,1165511,1827942,2015,10/9/15 15:56,41.68345772,-87.66975378,"(41.683457718, -87.669753776)"
22099,HY425242,9/16/15,091XX S YATES BLVD,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,FALSE,413,4,7,48,01A,1193756,1844897,2015,9/24/15 19:50,41.72934048,-87.56580662,"(41.729340475, -87.565806616)"
22097,HY423835,9/15/15,085XX S BURLEY AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,424,4,10,46,01A,1199293,1849013,2015,9/24/15 19:50,41.74049781,-87.54538556,"(41.740497814, -87.545385562)"
22095,HY423657,9/14/15,038XX W VAN BUREN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1133,11,24,26,01A,1150820,1897748,2015,9/24/15 19:50,41.87531434,-87.72171556,"(41.875314335, -87.721715561)"
22094,HY422267,9/14/15,008XX E BOWEN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,214,2,4,36,01A,1182598,1877649,2015,9/24/15 19:50,41.81948083,-87.60566559,"(41.81948083, -87.605665593)"
22096,HY422355,9/14/15,108XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,FALSE,2234,22,34,75,01A,1171584,1832762,2015,9/24/15 19:50,41.69655406,-87.6473821,"(41.696554057, -87.647382098)"
22092,HY422170,9/14/15,083XX S WOOD ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,614,6,18,71,01A,1165799,1849431,2015,9/24/15 19:50,41.7424209,-87.66809174,"(41.742420897, -87.66809174)"
22091,HY422047,9/13/15,084XX S LOOMIS BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,613,6,21,71,01A,1168470,1848704,2015,9/24/15 19:50,41.74036883,-87.65832606,"(41.740368828, -87.658326062)"
22089,HY418059,9/10/15,016XX N FRANCISCO AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1421,14,1,24,01A,1156884,1910708,2015,9/17/15 11:37,41.91075703,-87.6990991,"(41.910757025, -87.699099103)"
22088,HY416191,9/9/15,082XX S KENWOOD AVE,110,HOMICIDE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,411,4,8,45,01A,1186638,1850688,2015,9/17/15 11:37,41.74540279,-87.59169851,"(41.745402793, -87.591698509)"
22087,HY414739,9/8/15,033XX N KEELER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1731,17,30,16,01A,1147817,1922092,2015,9/17/15 11:37,41.94217492,-87.732115,"(41.942174917, -87.732114997)"
22085,HY414436,9/7/15,031XX W FIFTH AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1124,11,28,27,01A,1155577,1899080,2015,9/17/15 11:37,41.87887513,-87.70421379,"(41.878875132, -87.70421379)"
22086,HY413844,9/7/15,008XX E 81ST ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,631,6,8,44,01A,1183138,1851471,2015,9/17/15 11:37,41.74763349,-87.60449867,"(41.747633492, -87.604498673)"
22084,HY412481,9/6/15,072XX S GREEN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,733,7,17,68,01A,1171888,1856904,2015,9/17/15 11:37,41.76279644,-87.64556274,"(41.762796436, -87.64556274)"
22083,HY412330,9/6/15,011XX W RANDOLPH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1224,12,27,28,01A,1168987,1901192,2015,9/17/15 11:37,41.88439032,-87.65491365,"(41.884390318, -87.654913645)"
22082,HY412263,9/6/15,061XX S COTTAGE GROVE AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,313,3,20,42,01A,1182620,1864479,2015,9/17/15 11:37,41.78334076,-87.60599371,"(41.783340761, -87.605993706)"
22080,HY410903,9/5/15,016XX N MAYFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2531,25,29,25,01A,1136839,1910396,2015,9/17/15 11:37,41.91028398,-87.77274562,"(41.91028398, -87.772745617)"
22081,HY410924,9/5/15,018XX S DRAKE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1021,10,24,29,01A,1152997,1890738,2015,9/17/15 11:37,41.85603526,-87.71390813,"(41.856035263, -87.713908132)"
22078,HY410760,9/4/15,011XX S RICHMOND ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1135,11,28,29,01A,1156863,1895013,2015,9/17/15 11:37,41.86768891,-87.69960208,"(41.867688909, -87.69960208)"
